filepath,events
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1014.wav,"[('noise', 0, 10.0), ('drilling', 1.3236140599647488, 2.0297841335665248), ('car_horn', 1.7568034082976867, 3.0291959440818292), ('jackhammer', 5.7312314765969505, 9.451080632299817), ('dog_bark', 6.087563810979033, 8.831411818175583), ('gun_shot', 8.345720702427535, 8.897323465683298)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1015.wav,"[('noise', 0, 10.0), ('children_playing', 4.418312547096194, 6.201196537129414), ('street_music', 6.670402470553552, 7.875884309503682), ('car_horn', 7.420102640432265, 9.821042478363946), ('drilling', 7.904735367053872, 8.564436412091295)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1016.wav,"[('noise', 0, 10.0), ('dog_bark', 1.3170836304022155, 2.4453126304022152), ('air_conditioner', 1.7033966722576903, 2.6534423202581126), ('children_playing', 2.759835969560637, 4.565704715767033), ('street_music', 5.071675482380189, 7.844190007012675), ('engine_idling', 6.4593900007846505, 9.35092455889046), ('jackhammer', 6.800541048549499, 8.256605277577094), ('siren', 8.174271500303139, 10.220028879332883)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1017.wav,"[('noise', 0, 10.0), ('children_playing', 2.7570480537646875, 6.725810509356865), ('street_music', 2.775321543905795, 4.533683429553621), ('gun_shot', 2.94143271962989, 4.35116071962989), ('street_music', 2.9830288965071476, 3.6393418428955986), ('dog_bark', 4.235925938343179, 8.024604027030513), ('drilling', 5.421077773152988, 5.974578088504877)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1018.wav,"[('noise', 0, 10.0), ('gun_shot', 3.4738218450425826, 3.7427788450425825), ('street_music', 6.809475080784576, 10.042444150165846), ('car_horn', 7.022596186586421, 9.514613101949191), ('street_music', 8.264381357055568, 10.387876786905764)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1019.wav,"[('noise', 0, 10.0), ('engine_idling', 0.3606982981094058, 2.040252833222179), ('car_horn', 3.565680091984985, 3.720701091984985), ('children_playing', 7.331919544589626, 10.494465832837463)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal102.wav,"[('noise', 0, 10.0), ('air_conditioner', 1.6509614232771757, 4.401383080425132), ('gun_shot', 2.45339529139682, 6.234001245577588), ('street_music', 3.133833828547949, 3.852399564848989), ('gun_shot', 3.8823161154430057, 6.112316115443006), ('siren', 5.4188287145804015, 7.707588570223764), ('jackhammer', 5.543536648070775, 8.636346512348393), ('jackhammer', 6.509200473116835, 9.6728151674392), ('siren', 7.172689562438846, 10.4609127580043), ('car_horn', 7.53653232806086, 10.415447579762786)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1020.wav,"[('noise', 0, 10.0), ('dog_bark', 3.007976458275772, 4.034779458275772), ('jackhammer', 4.0562398287431005, 4.566052035714491), ('drilling', 6.3171669768704035, 9.561025911838367), ('dog_bark', 6.72542843983364, 9.09194943983364)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1021.wav,"[('noise', 0, 10.0), ('dog_bark', 0.3674299185639365, 2.3546145553623377), ('street_music', 2.944597500440164, 4.658116430858346), ('street_music', 3.0004685521030705, 4.092146722134515), ('drilling', 3.0709174188746435, 6.509731503174358), ('siren', 3.673910046948106, 4.188418746638593), ('gun_shot', 4.811506952665521, 5.839100952665521), ('engine_idling', 6.7581309282085, 10.023831039980202)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1022.wav,"[('noise', 0, 10.0), ('gun_shot', 8.491576754286694, 9.101576754286693)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1023.wav,"[('noise', 0, 10.0), ('drilling', 0.29352876095984115, 1.3696996999676039), ('dog_bark', 1.6450397071459901, 2.5059652730397977), ('engine_idling', 3.1901380193574487, 3.834477894460037), ('car_horn', 4.526676912958803, 4.962345912958803), ('jackhammer', 6.319697912640205, 9.763224931637744), ('dog_bark', 8.522846460816034, 9.795709893994262)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1024.wav,"[('noise', 0, 10.0), ('siren', 3.4492018081439815, 4.336123243699874), ('gun_shot', 4.247281428101397, 6.777281428101396), ('gun_shot', 5.931755562637785, 6.433506478399011), ('drilling', 6.099504813291912, 8.347406851390852), ('air_conditioner', 6.519465918483275, 9.944688942712773), ('gun_shot', 7.1127405948117985, 7.914675498816897), ('dog_bark', 8.150400738880704, 9.718717771264517)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1025.wav,"[('noise', 0, 10.0), ('children_playing', 0.703091591471277, 2.917380988849998), ('siren', 1.1798680923339564, 3.9741840571733658), ('dog_bark', 4.035962375374828, 4.743730540433489), ('children_playing', 4.9051635837382905, 7.739267588970506), ('dog_bark', 5.290123119205801, 7.172662378060016), ('children_playing', 6.87250313902473, 9.08139803464309), ('street_music', 7.401160582882069, 10.144212998399372), ('dog_bark', 8.334070479411562, 10.014070479411561)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1026.wav,"[('noise', 0, 10.0), ('engine_idling', 1.5769037356729956, 4.08084568287723), ('gun_shot', 3.9971491503327043, 5.437149150332704), ('street_music', 4.858425034590264, 5.795747161377717), ('siren', 4.997972333794111, 7.179339987537312), ('drilling', 5.461122514292114, 6.085512098026089), ('gun_shot', 6.557885789643655, 7.166531307707863), ('engine_idling', 7.58550011947773, 9.724289858294505)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1027.wav,"[('noise', 0, 10.0), ('jackhammer', 0.8389678598635459, 3.1918081132011045), ('children_playing', 2.2062715181856176, 3.3829933106596615), ('drilling', 3.6734431519840176, 4.805993879890593), ('gun_shot', 3.89035863271722, 4.759680653838533), ('drilling', 4.421301890536006, 7.650808610185859), ('children_playing', 5.217170945610201, 5.861928293758777), ('children_playing', 6.82273036549887, 8.067562043839855)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1028.wav,"[('noise', 0, 10.0), ('dog_bark', 1.0149988724621712, 2.732254527171724), ('engine_idling', 1.4511674893245656, 2.6886105442574633), ('gun_shot', 3.3306031159556198, 3.96687411595562), ('engine_idling', 5.188802852049859, 7.676272382769165), ('engine_idling', 6.75110497154204, 8.98797356581938), ('jackhammer', 7.244139861980706, 8.733291318291865), ('dog_bark', 7.96675803679603, 9.85675803679603), ('drilling', 9.292479634273615, 10.116637759526213)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1029.wav,"[('noise', 0, 10.0), ('street_music', 2.101481905101589, 3.3739755656673163), ('street_music', 2.252019108863843, 3.937144598838352), ('dog_bark', 3.5606855189957836, 5.340209118857851), ('jackhammer', 8.032519795796212, 10.339882610097195)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal103.wav,"[('noise', 0, 10.0), ('air_conditioner', 6.374952652147842, 9.752539994706822)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1030.wav,"[('noise', 0, 10.0), ('air_conditioner', 0.26817339906313675, 3.216580440241549), ('dog_bark', 2.1235621221536864, 5.2006663692587285), ('dog_bark', 2.197687151046784, 5.82591792799856), ('jackhammer', 2.4369565481885793, 5.947055926451239)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1031.wav,"[('noise', 0, 10.0), ('car_horn', 1.9392528568789422, 5.780856786265062), ('street_music', 2.1407700433149106, 3.223953619320552), ('siren', 2.5837718434798806, 3.916402770053546), ('drilling', 3.5198702434918863, 5.857814043245666), ('drilling', 4.295212151541654, 8.047027525237956), ('children_playing', 5.990602176517564, 6.7938862216059395), ('dog_bark', 6.303641688410421, 8.644728240261408), ('drilling', 7.628157688549244, 9.685820347383709), ('dog_bark', 8.8119200061852, 9.021920006185201)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1032.wav,"[('noise', 0, 10.0), ('children_playing', 2.206685557279713, 3.5063026771072843), ('car_horn', 4.011122465033676, 4.709388066140832), ('drilling', 4.4263653294859475, 5.036365329485948), ('car_horn', 4.62476429639709, 7.968383698340154), ('gun_shot', 4.810844092616538, 6.806894086559176), ('siren', 6.289056925539932, 9.432722122425012)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1033.wav,"[('noise', 0, 10.0), ('gun_shot', 2.900103743901832, 3.5701037439018317), ('engine_idling', 3.456162313151453, 7.161165642576061), ('car_horn', 5.80063179148862, 9.37654756560568), ('children_playing', 5.9094867586097966, 9.653176665557602), ('street_music', 6.909714114400476, 9.881272369764694), ('children_playing', 7.937248463887891, 9.985540990636741)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1034.wav,"[('noise', 0, 10.0), ('siren', 5.034225761534981, 8.178741101597673)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1035.wav,"[('noise', 0, 10.0), ('jackhammer', 3.76873628112733, 5.159658891268844), ('engine_idling', 4.834932843345928, 7.680285848464899)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1036.wav,"[('noise', 0, 10.0), ('dog_bark', 2.234207408743204, 5.427236930797678), ('siren', 2.8958888845929396, 3.684360388989596), ('engine_idling', 3.4387624794598954, 6.09685556863428), ('siren', 3.518379872832701, 6.816306297706141), ('siren', 5.1652868340581755, 7.948486840631954)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1037.wav,"[('noise', 0, 10.0), ('jackhammer', 5.777907575798189, 7.529609953678582), ('jackhammer', 7.521006415355773, 10.205769719757928)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1038.wav,"[('noise', 0, 10.0), ('children_playing', 0.7783081899844557, 1.7088013026837472), ('drilling', 1.5128065435958542, 2.883159921675392), ('drilling', 2.2055172994951366, 5.381659327284938), ('children_playing', 3.598437450730382, 4.193198290881653), ('drilling', 5.217938828770656, 6.965337411587019), ('drilling', 5.639863521313913, 7.305597820714315), ('dog_bark', 6.37154406602678, 7.716630863485733), ('jackhammer', 6.98779714008328, 9.80093651482926), ('jackhammer', 8.46880242008112, 9.498239101251379)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1039.wav,"[('noise', 0, 10.0), ('dog_bark', 1.3960387673508, 3.9216074179239326), ('gun_shot', 3.648458125423715, 6.328458125423715)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal104.wav,"[('noise', 0, 10.0), ('children_playing', 1.9367582954699716, 5.0394803526638805), ('jackhammer', 7.880776506704263, 8.778873555137872)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1040.wav,"[('noise', 0, 10.0), ('children_playing', 0.8433677135814852, 2.2173561754933147), ('street_music', 1.6864758090910867, 2.4465638966311514), ('car_horn', 3.828497001434971, 6.3907587039409455), ('car_horn', 4.963737891194084, 5.475218171029754), ('drilling', 5.2729683538469825, 8.804887072615923), ('gun_shot', 6.123504220563952, 7.898561975071819), ('car_horn', 6.43468365276011, 8.053263241708905), ('children_playing', 6.747553934542886, 10.532735711554098), ('siren', 7.164243154521168, 9.953458897019711)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1041.wav,"[('noise', 0, 10.0), ('engine_idling', 1.316133814359335, 4.154134981825092), ('car_horn', 1.7490854840198704, 2.3317621976191716), ('drilling', 4.593909893738735, 8.055622461387578), ('drilling', 5.805784626321941, 6.537873314390395)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1042.wav,"[('noise', 0, 10.0), ('drilling', 0.4932115755454354, 3.618699576414109), ('children_playing', 0.8982429923563622, 3.625325188576374), ('street_music', 2.0706597801570776, 5.373790038242074), ('car_horn', 3.205457191146334, 4.318568146591775), ('siren', 3.895901039176618, 6.400397601662109), ('street_music', 6.020104510546758, 7.432789976631664), ('air_conditioner', 6.477424658419995, 9.529579212663025), ('car_horn', 7.102136325716525, 7.469511325716525)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1043.wav,"[('noise', 0, 10.0), ('street_music', 1.7698351495481783, 3.0736322501688025), ('children_playing', 2.0824592486593536, 2.825693621067585), ('dog_bark', 2.182331113382447, 2.7097874772993604), ('jackhammer', 2.191227549422093, 4.89397134144529), ('gun_shot', 4.045873076498761, 5.370202443281683), ('siren', 4.060158287197504, 4.668283907273998), ('jackhammer', 5.645622783082811, 7.081113544767907), ('gun_shot', 5.678966878275078, 6.395070878275078), ('street_music', 6.053136830239738, 7.103275814926977)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1044.wav,"[('noise', 0, 10.0), ('car_horn', 4.442140344099809, 6.273605396485603), ('dog_bark', 5.4129801098943675, 7.701522149956838), ('gun_shot', 6.889341353507914, 7.7593413535079145)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1045.wav,"[('noise', 0, 10.0), ('jackhammer', 6.057756614574849, 8.067756614574849), ('air_conditioner', 6.065971754009812, 6.630409342727383), ('street_music', 7.521996682920896, 8.143575265118347)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1046.wav,"[('noise', 0, 10.0), ('jackhammer', 1.0531536529529102, 4.038879806534587), ('car_horn', 2.777819040173731, 5.381363330623884), ('gun_shot', 5.452599456685586, 7.31748864084224), ('car_horn', 8.728755439325697, 9.980277717118094)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1047.wav,"[('noise', 0, 10.0), ('car_horn', 1.3956573001358519, 3.5056573001358515), ('siren', 2.7211571559945678, 4.921760582023451), ('siren', 2.955759336327337, 4.157505412971313), ('drilling', 4.561336351091382, 8.09519761452107), ('air_conditioner', 5.98945896022799, 6.726791055473876), ('jackhammer', 6.148561487996947, 9.795411525537961), ('air_conditioner', 6.376884570544944, 9.323032502396629), ('dog_bark', 6.379301503841424, 9.90641212570309)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1048.wav,"[('noise', 0, 10.0), ('street_music', 0.4086353474865132, 1.917593755230592), ('drilling', 3.032270592609762, 6.363986625251087), ('gun_shot', 3.789498904537914, 5.069498904537914), ('car_horn', 5.822492731711646, 9.347360788773928), ('jackhammer', 7.098425245906724, 10.166821015746535), ('engine_idling', 8.416796286159492, 9.137107578005285)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1049.wav,"[('noise', 0, 10.0), ('car_horn', 3.38567978849396, 3.61074178849396), ('gun_shot', 4.481686958259521, 5.211686958259522), ('dog_bark', 4.85286046580381, 6.552552761548602), ('jackhammer', 6.379220011737107, 10.166378330092192), ('children_playing', 6.799016790944453, 10.093444121683955), ('jackhammer', 7.7909402425733605, 9.916908743360747), ('engine_idling', 7.850905751672688, 10.388728054695061), ('drilling', 8.31712364238945, 9.912901714431364)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal105.wav,"[('noise', 0, 10.0), ('engine_idling', 2.129909113549226, 3.7109309627501728), ('air_conditioner', 2.6377886027557964, 5.447874453296134), ('car_horn', 3.431592478094365, 6.920588032428894), ('siren', 3.6816083453370334, 7.289606114633495), ('siren', 4.795610702305266, 6.187471729544972), ('siren', 5.347124014319943, 5.8794636269439), ('engine_idling', 6.1943762015287245, 10.188370168932284), ('engine_idling', 7.006168575868178, 7.685637004717716), ('street_music', 7.142869348833996, 10.535987759122847)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1050.wav,"[('noise', 0, 10.0), ('gun_shot', 1.324434048873244, 2.333074247663251), ('dog_bark', 1.6755879026868161, 3.7244546268600147), ('street_music', 2.520465808382653, 4.565483280866427)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1051.wav,"[('noise', 0, 10.0), ('dog_bark', 2.6194452650323794, 5.2984607877148004), ('street_music', 3.7892546508368836, 4.73584174586363)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1052.wav,"[('noise', 0, 10.0), ('jackhammer', 4.118329138691494, 7.657873860521601)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1053.wav,"[('noise', 0, 10.0), ('street_music', 1.1178217327693893, 1.7256871904136428), ('street_music', 1.7859076080748082, 4.635010567391177), ('children_playing', 5.891779113725464, 6.781555019634524), ('gun_shot', 6.169104592965892, 7.344552592965893), ('dog_bark', 6.442985516503213, 7.019448516503212), ('gun_shot', 7.364232484209204, 9.611218377038377), ('drilling', 8.230742686042541, 9.726722652250222)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1054.wav,"[('noise', 0, 10.0), ('children_playing', 1.573889309955092, 5.145837520088855), ('air_conditioner', 3.321652332972863, 3.986560620448571), ('street_music', 3.8179378946604543, 7.505188801808369), ('engine_idling', 4.53151076233006, 8.119241145576659), ('street_music', 6.935572454629068, 8.21681278918789), ('dog_bark', 7.200239072552001, 9.11183717460957), ('car_horn', 7.809578143922184, 9.239068005498623)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1055.wav,"[('noise', 0, 10.0), ('gun_shot', 6.936776601923748, 8.226100818510783)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1056.wav,"[('noise', 0, 10.0), ('jackhammer', 0.4696204891170144, 4.3508129885610725), ('gun_shot', 2.9282503824285167, 4.726516602216036), ('car_horn', 4.551582834235965, 6.308475861823614), ('street_music', 5.032218046146795, 8.380336284330358), ('engine_idling', 6.822481739449668, 9.07588311601172)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1057.wav,"[('noise', 0, 10.0), ('dog_bark', 1.7359597424484647, 4.505959742448464), ('children_playing', 3.2773904835470424, 6.74209328925795), ('car_horn', 3.7787576007416175, 5.5887576007416175), ('air_conditioner', 4.833220203236177, 7.502907344548489), ('drilling', 5.691172265784893, 9.662053084191724), ('jackhammer', 8.587675792014721, 9.845535778212723)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1058.wav,"[('noise', 0, 10.0), ('engine_idling', 5.161516297435357, 6.935873123504468), ('drilling', 6.076194502031597, 9.301221687917215)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1059.wav,"[('noise', 0, 10.0), ('engine_idling', 1.7459709822141924, 5.390927550604556), ('car_horn', 4.248814040495821, 4.806567878016162)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal106.wav,"[('noise', 0, 10.0), ('gun_shot', 1.539507289473053, 2.8612743635921127), ('children_playing', 2.413000587764465, 6.092778002185401), ('siren', 3.6962510984801957, 5.7741191532605995)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1060.wav,"[('noise', 0, 10.0), ('air_conditioner', 0.4751611829127862, 2.984570893208641), ('jackhammer', 1.8196201704936548, 4.8866344812639415), ('siren', 1.9079576032159429, 2.9000773312053147), ('dog_bark', 2.983619521913872, 5.520328916061112), ('jackhammer', 3.767389831609278, 4.546393716916902), ('car_horn', 4.0871079693159516, 5.821370679085088)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1061.wav,"[('noise', 0, 10.0), ('jackhammer', 2.2586270739866214, 2.7959920739866213), ('dog_bark', 2.5573087331336, 5.0334087331336), ('engine_idling', 3.627818263553674, 5.084479443338575), ('jackhammer', 4.626594546725516, 5.75076711143428), ('children_playing', 5.0509301621641765, 6.814172119302967), ('air_conditioner', 5.795409331826183, 7.823077329224734), ('dog_bark', 6.69733862638465, 8.542742818027307), ('jackhammer', 7.235197933319214, 9.931312653968705)]"
../data/urbansed/URBAN-SED_v2.0.0/audio/train/soundscape_train_bimodal1062.wav,"[('noise', 0, 10.0), ('engine_idling', 1.2894523078607736, 3.331808572121338), ('car_horn', 1.8683390910615156, 5.264205203515883), ('engine_idling', 5.983961605040093, 9.577137381970314), ('jackhammer', 7.222234721742016, 8.627630721742015), ('gun_shot', 8.750325270764023, 9.973982133306754)]"
